col_id	uuid	name	sex	det	fam	ord	rank
JPL_A128	TSZ-JPL-d5fff070-e3a2-11e9-8e02-03ce3011d93e	Pyrgus andromedae (Wallengren, 1853)		Jon Peder Lindemann	Hesperiidae	Lepidoptera	species
JPL_A129	TSZ-JPL-d5fff068-e3a2-11e9-8e02-03ce3011d93e	Pyrgus andromedae (Wallengren, 1853)		Jon Peder Lindemann	Hesperiidae	Lepidoptera	species
JPL_A129	TSZ-JPL-d5ffc973-e3a2-11e9-8e02-03ce3011d93e	Pyrgus andromedae (Wallengren, 1853)		Jon Peder Lindemann	Hesperiidae	Lepidoptera	species
JPL_A129	TSZ-JPL-d5ffc972-e3a2-11e9-8e02-03ce3011d93e	Pyrgus andromedae (Wallengren, 1853)		Jon Peder Lindemann	Hesperiidae	Lepidoptera	species
JPL_A130	TSZ-JPL-d6003e51-e3a2-11e9-8e02-03ce3011d93e	Pyrgus andromedae (Wallengren, 1853)		Jon Peder Lindemann	Hesperiidae	Lepidoptera	species
JPL_A130	TSZ-JPL-d6003e4e-e3a2-11e9-8e02-03ce3011d93e	Pyrgus centaureae (Rambur, 1839)		Jon Peder Lindemann	Hesperiidae	Lepidoptera	species
JPL_A131	TSZ-JPL-d6001756-e3a2-11e9-8e02-03ce3011d93e	Pyrgus centaureae (Rambur, 1839)		Jon Peder Lindemann	Hesperiidae	Lepidoptera	species
JPL_A131	TSZ-JPL-d6001754-e3a2-11e9-8e02-03ce3011d93e	Colias hecla  Lefebvre, 1836		Jon Peder Lindemann	Pieridae	Lepidoptera	species
JPL_A132	TSZ-JPL-d5ffc96d-e3a2-11e9-8e02-03ce3011d93e	Colias hecla  Lefebvre, 1837		Jon Peder Lindemann	Pieridae	Lepidoptera	species
JPL_A128	TSZ-JPL-d5fff06b-e3a2-11e9-8e02-03ce3011d93e	Boloria thore (Hubner, 1804)		Jon Peder Lindemann	Nymphalidae	Lepidoptera	species
JPL_A133	TSZ-JPL-d5ffc970-e3a2-11e9-8e02-03ce3011d93e	Boloria thore (Hubner, 1804)		Jon Peder Lindemann	Nymphalidae	Lepidoptera	species
JPL_A128	TSZ-JPL-d5fff06c-e3a2-11e9-8e02-03ce3011d93e	Erebia pandrose (Borkhausen, 1788)		Jon Peder Lindemann	Nymphalidae	Lepidoptera	species
JPL_A128	TSZ-JPL-d5fff06d-e3a2-11e9-8e02-03ce3011d93e	Erebia pandrose (Borkhausen, 1788)		Jon Peder Lindemann	Nymphalidae	Lepidoptera	species
JPL_A131	TSZ-JPL-d6001757-e3a2-11e9-8e02-03ce3011d93e	Erebia pandrose (Borkhausen, 1788)		Jon Peder Lindemann	Nymphalidae	Lepidoptera	species
JPL_A131	TSZ-JPL-d6001755-e3a2-11e9-8e02-03ce3011d93e	Erebia pandrose (Borkhausen, 1788)		Jon Peder Lindemann	Nymphalidae	Lepidoptera	species
JPL_A128	TSZ-JPL-d5fff071-e3a2-11e9-8e02-03ce3011d93e	Pieris napi (Linnaeus, 1758)		Jon Peder Lindemann	Pieridae	Lepidoptera	species
JPL_A128	TSZ-JPL-d5fff06a-e3a2-11e9-8e02-03ce3011d93e	Pieris napi (Linnaeus, 1758)		Jon Peder Lindemann	Pieridae	Lepidoptera	species
JPL_A131	TSZ-JPL-d6001753-e3a2-11e9-8e02-03ce3011d93e	Pieris napi (Linnaeus, 1758)		Jon Peder Lindemann	Pieridae	Lepidoptera	species
JPL_A134	TSZ-JPL-d5ffc96c-e3a2-11e9-8e02-03ce3011d93e	Lycaena phlaeas (Linnaeus, 1760)		Jon Peder Lindemann	Lycaenidae	Lepidoptera	species
JPL_A135	TSZ-JPL-d5ffc96e-e3a2-11e9-8e02-03ce3011d93e	Xanthorhoe annotinata (Zetterstedt, 1839)		Jon Peder Lindemann	Geometridae	Lepidoptera	species
JPL_A136	TSZ-JPL-d5ffc96f-e3a2-11e9-8e02-03ce3011d93e	Anania funebris (Strom, 1768)		Jon Peder Lindemann	Crambidae	Lepidoptera	species
JPL_A128	TSZ-JPL-d5fff06e-e3a2-11e9-8e02-03ce3011d93e	Ecliptopera silaceata (Denis & Schiffermuller, 1775)		Jon Peder Lindemann	Geometridae	Lepidoptera	species
