id	basisOfRecord	language	modified	rightsHolder	collectionCode	institutionCode	occurrenceID	catalogNumber	scientificName	taxonRank	scientificNameAuthorship	specificEpithet	genus	family	order	kingdom	phylum	class	nomenclaturalCode	identifiedBy	dateIdentified	individualCount	sex	lifeStage	preparations	ownerInstitutionCode	occurrenceRemarks	associatedTaxa	associatedReferences	eventID	countryCode	country	stateProvince	county	municipality	locality	habitat	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	geodeticDatum	samplingProtocol	eventDate	recordedBy	eventRemarks
0fb7fb78-cd14-11eb-9914-a44e3127374c	PreservedSpecimen	en	2021-06-14T13:26Z	Tromsø University Museum	TSZ	TMU	0fb7fb78-cd14-11eb-9914-a44e3127374c	TSZD-JPL-100100	Exechia neorepanda	spnov		neorepanda	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-06-14	1		adult	pinned	TMU		NA	NA	JPL_A194	NO	Norway		Troms	Tromsø	Tromsøya, Folkeparken	in stems of Heraclum persicum	69.634975	18.903577	10	WGS84	Hand-picked	2021-04-04	Jon Peder Lindemann	
1a098126-b029-4b13-a2a5-89f6cb591039	PreservedSpecimen	en	2021-06-14T13:26Z	Tromsø University Museum	TSZ	TMU	1a098126-b029-4b13-a2a5-89f6cb591039	TSZD-JPL-100103	Exechia neorepanda	spnov		neorepanda	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-06-14	1		adult	pinned	TMU		NA	NA	JPL_A194	NO	Norway		Troms	Tromsø	Tromsøya, Folkeparken	in stems of Heraclum persicum	69.634975	18.903577	10	WGS84	Hand-picked	2021-04-04	Jon Peder Lindemann	
7623232c-2447-4ed5-a7bd-e7724039f94c	PreservedSpecimen	en	2021-06-14T13:26Z	Tromsø University Museum	TSZ	TMU	7623232c-2447-4ed5-a7bd-e7724039f94c	TSZD-JPL-100105	Exechia neorepanda	spnov		neorepanda	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-06-14	1		adult	pinned	TMU		NA	NA	JPL_A194	NO	Norway		Troms	Tromsø	Tromsøya, Folkeparken	in stems of Heraclum persicum	69.634975	18.903577	10	WGS84	Hand-picked	2021-04-04	Jon Peder Lindemann	
8a4cc679-0dc0-4b84-9d56-6243844173b6	PreservedSpecimen	en	2021-07-15T15:18Z	Tromsø University Museum	TSZ	TMU	8a4cc679-0dc0-4b84-9d56-6243844173b6		Exechia lundstroemi Landrock, 1923	species	Landrock, 1923	lundstroemi	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	TMU-JKJ-COL-000537	NO	Norway		Finnmark	Sør-Varanger	Pasvik, Gjøkbekken		69.152778	29.152222	50	WGS84	Window-trap	2017-07-25/2017-09-26	Jostein Kjærandsen | Martin Torp Dahl	WT 1
ADB-RM-COL-082;0192ed21-9417-4ffd-ac5b-23edbcc54f85	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;0192ed21-9417-4ffd-ac5b-23edbcc54f85		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;0c64edf5-682f-4aea-92ac-69e75ccbd3d5	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;0c64edf5-682f-4aea-92ac-69e75ccbd3d5		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;0d7c6a31-ae4f-4903-afae-a43fc9888b61	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;0d7c6a31-ae4f-4903-afae-a43fc9888b61		Exechia lundstroemi Landrock, 1923	species	Landrock, 1923	lundstroemi	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;10f1dd0c-4c2d-4a00-af60-b570b92f9d3f	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;10f1dd0c-4c2d-4a00-af60-b570b92f9d3f		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;29f14c9e-dce2-440e-9b59-3301be052f81	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;29f14c9e-dce2-440e-9b59-3301be052f81		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;3e89c93b-5b75-43b3-ad47-5f1c4a78ec20	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;3e89c93b-5b75-43b3-ad47-5f1c4a78ec20		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;53c192a3-291a-41eb-b575-1e5fb248663f	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;53c192a3-291a-41eb-b575-1e5fb248663f		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;5591182d-c087-4194-a43a-8bcc97aaa7cd	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;5591182d-c087-4194-a43a-8bcc97aaa7cd		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;5abd4555-a32d-4389-97dd-412f85872250	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;5abd4555-a32d-4389-97dd-412f85872250		Exechia lundstroemi Landrock, 1923	species	Landrock, 1923	lundstroemi	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;5ade9583-666a-4eda-bf3f-254b6a2e2672	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;5ade9583-666a-4eda-bf3f-254b6a2e2672		Exechia lundstroemi Landrock, 1923	species	Landrock, 1923	lundstroemi	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;6cbbbb6f-d842-4d9e-973a-32cfb3ff5a27	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;6cbbbb6f-d842-4d9e-973a-32cfb3ff5a27		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;9269f297-7956-4568-b931-291d8b5e8e5b	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;9269f297-7956-4568-b931-291d8b5e8e5b		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
ADB-RM-COL-082;99581508-c9d3-472a-b552-a8bab83ef40d	PreservedSpecimen	en	2021-07-15T17:46Z	Tromsø University Museum	TSZ	TMU	ADB-RM-COL-082;99581508-c9d3-472a-b552-a8bab83ef40d		Exechia parva Lundstrom, 1909	species	Lundstrom, 1909	parva	Exechia	Mycetophilidae	Diptera	animalia	arthropoda	insecta	ICZN	Jon Peder Lindemann	2021-07-15	1	male	adult	pinned	TMU		NA	NA	ADB-RM-COL-082	NO	Norway		Hedmark	Engerdal	Åsen		61.885861	11.782833	50	WGS84	Window-trap	2016-08-18	Rikmyrsprosjektet	
